"Ord Ref","Order Date","Comm","Customer","Ship Date","Product","Qty"
TEST0066,27/09/2025,E,101,12/10/2025,101863,1
TEST0066,27/09/2025,E,101,12/10/2025,100890,2
TEST0066,27/09/2025,E,101,12/10/2025,101860,3
TEST0066,27/09/2025,E,101,12/10/2025,102130,4
TEST0066,27/09/2025,E,101,12/10/2025,200380,5
TEST0067,27/09/2025,E,101,12/10/2025,101863,1
TEST0067,27/09/2025,E,101,12/10/2025,100890,2
TEST0067,27/09/2025,E,101,12/10/2025,101860,3
TEST0067,27/09/2025,E,101,12/10/2025,102130,4
TEST0068,27/09/2025,E,101,12/10/2025,101863,1
TEST0068,27/09/2025,E,101,12/10/2025,100890,2
TEST0068,27/09/2025,E,101,12/10/2025,101860,3

