"Ord Ref","Order Date","Comm","Customer","Ship Date","Product","Qty"
TEST0021,27/06/2022,A,104,29/06/2022,100870,5
TEST0021,27/06/2022,B,104,30/06/2022,100861,7
TEST0021,27/06/2022,X,104,28/06/2022,102130,1
TEST0021,27/06/2022,A,104,01/07/2022,200380,12
TEST0022,27/06/2022,C,102,02/07/2022,101863,9
TEST0022,27/06/2022,C,102,04/07/2022,100890,88
TEST0022,27/06/2022,C,102,01/07/2022,102130,4
TEST0023,27/JUNXXX/2022,C,103,02/07/2022,101863,12
TEST0023,27/06/2022,C,103,02/07/2022,100890,24
TEST0023,27/06/2022,C,103,02/07/2022,102130,36
TEST0024,29/06/2022,CCC,101,02/07/2022,101863,12
TEST0024,29/06/2022,C,101,02/07/2022,100890,24
TEST0025,03/07/2022,D,99,05/07/2022,101863,12ZZZ
TEST0025,03/07/2022,D,101,05/JULXX/2022,100890XXX,24
TEST0026,15/07/2022,D,102,20/07/2022,101863,99
TEST0026,15/07/2022,D,102,20/07/2022,100890,100
