"Order ID","Order Ref","Order Date","Ship Date","Comm Plan","Total","Customer ID","Customer Name","Sales Rep","Item","Product ID","Description","Price","Qty","Item Total"
601,,01-MAY-86,30-MAY-86,A,2.4,106,SHAPE UP,WARD,1,200376,SB ENERGY BAR-6 PACK,2.4,1,2.4
602,,05-JUN-86,20-JUN-86,B,56,102,VOLLYRITE,MARTIN,1,100870,ACE TENNIS BALLS-3 PACK,2.8,20,56
603,,05-JUN-86,05-JUN-86,,224,102,VOLLYRITE,MARTIN,2,100860,ACE TENNIS RACKET I,56,4,224
604,,15-JUN-86,30-JUN-86,A,698,106,SHAPE UP,WARD,1,100890,ACE TENNIS NET,58,3,174
604,,15-JUN-86,30-JUN-86,A,698,106,SHAPE UP,WARD,2,100861,ACE TENNIS RACKET II,42,2,84
604,,15-JUN-86,30-JUN-86,A,698,106,SHAPE UP,WARD,3,100860,ACE TENNIS RACKET I,44,10,440
605,,14-JUL-86,30-JUL-86,A,8324,106,SHAPE UP,WARD,1,100861,ACE TENNIS RACKET II,45,100,4500
605,,14-JUL-86,30-JUL-86,A,8324,106,SHAPE UP,WARD,2,100870,ACE TENNIS BALLS-3 PACK,2.8,500,1400
605,,14-JUL-86,30-JUL-86,A,8324,106,SHAPE UP,WARD,3,100890,ACE TENNIS NET,58,5,290
605,,14-JUL-86,30-JUL-86,A,8324,106,SHAPE UP,WARD,4,101860,SP TENNIS RACKET,24,50,1200
605,,14-JUL-86,30-JUL-86,A,8324,106,SHAPE UP,WARD,5,101863,SP JUNIOR RACKET,9,100,900
605,,14-JUL-86,30-JUL-86,A,8324,106,SHAPE UP,WARD,6,102130,RH: "GUIDE TO TENNIS",3.4,10,34
606,,14-JUL-86,30-JUL-86,A,3.4,100,JOCKSPORTS,TURNER,1,102130,RH: "GUIDE TO TENNIS",3.4,1,3.4
607,,18-JUL-86,18-JUL-86,C,5.6,104,EVERY MOUNTAIN,ALLEN,1,100871,ACE TENNIS BALLS-6 PACK,5.6,1,5.6
608,,25-JUL-86,25-JUL-86,C,35.2,104,EVERY MOUNTAIN,ALLEN,1,101860,SP TENNIS RACKET,24,1,24
608,,25-JUL-86,25-JUL-86,C,35.2,104,EVERY MOUNTAIN,ALLEN,2,100871,ACE TENNIS BALLS-6 PACK,5.6,2,11.2
609,,01-AUG-86,15-AUG-86,B,97.5,100,JOCKSPORTS,TURNER,1,100861,ACE TENNIS RACKET II,35,1,35
609,,01-AUG-86,15-AUG-86,B,97.5,100,JOCKSPORTS,TURNER,2,100870,ACE TENNIS BALLS-3 PACK,2.5,5,12.5
609,,01-AUG-86,15-AUG-86,B,97.5,100,JOCKSPORTS,TURNER,3,100890,ACE TENNIS NET,50,1,50
610,,07-JAN-87,08-JAN-87,A,101.4,101,TKB SPORT SHOP,WARD,1,100860,ACE TENNIS RACKET I,35,1,35
610,,07-JAN-87,08-JAN-87,A,101.4,101,TKB SPORT SHOP,WARD,2,100870,ACE TENNIS BALLS-3 PACK,2.8,3,8.4
610,,07-JAN-87,08-JAN-87,A,101.4,101,TKB SPORT SHOP,WARD,3,100890,ACE TENNIS NET,58,1,58
611,,11-JAN-87,11-JAN-87,B,45,102,VOLLYRITE,MARTIN,1,100861,ACE TENNIS RACKET II,45,1,45
612,,15-JAN-87,20-JAN-87,C,5860,104,EVERY MOUNTAIN,ALLEN,1,100860,ACE TENNIS RACKET I,30,100,3000
612,,15-JAN-87,20-JAN-87,C,5860,104,EVERY MOUNTAIN,ALLEN,2,100861,ACE TENNIS RACKET II,40.5,20,810
612,,15-JAN-87,20-JAN-87,C,5860,104,EVERY MOUNTAIN,ALLEN,3,101863,SP JUNIOR RACKET,10,150,1500
612,,15-JAN-87,20-JAN-87,C,5860,104,EVERY MOUNTAIN,ALLEN,4,100871,ACE TENNIS BALLS-6 PACK,5.5,100,550
613,,01-FEB-87,01-FEB-87,,6400,108,NORTH WOODS HEALTH AND FITNESS SUPPLY CENTER,TURNER,1,100871,ACE TENNIS BALLS-6 PACK,5.6,100,560
613,,01-FEB-87,01-FEB-87,,6400,108,NORTH WOODS HEALTH AND FITNESS SUPPLY CENTER,TURNER,2,101860,SP TENNIS RACKET,24,200,4800
613,,01-FEB-87,01-FEB-87,,6400,108,NORTH WOODS HEALTH AND FITNESS SUPPLY CENTER,TURNER,3,200380,SB VITA SNACK-6 PACK,4,150,600
613,,01-FEB-87,01-FEB-87,,6400,108,NORTH WOODS HEALTH AND FITNESS SUPPLY CENTER,TURNER,4,200376,SB ENERGY BAR-6 PACK,2.2,200,440
614,,01-FEB-87,05-FEB-87,,23940,102,VOLLYRITE,MARTIN,1,100860,ACE TENNIS RACKET I,35,444,15540
614,,01-FEB-87,05-FEB-87,,23940,102,VOLLYRITE,MARTIN,2,100870,ACE TENNIS BALLS-3 PACK,2.8,1000,2800
614,,01-FEB-87,05-FEB-87,,23940,102,VOLLYRITE,MARTIN,3,100871,ACE TENNIS BALLS-6 PACK,5.6,1000,5600
615,,01-FEB-87,06-FEB-87,,710,107,WOMENS SPORTS,ALLEN,1,100861,ACE TENNIS RACKET II,45,4,180
615,,01-FEB-87,06-FEB-87,,710,107,WOMENS SPORTS,ALLEN,2,100870,ACE TENNIS BALLS-3 PACK,2.8,100,280
615,,01-FEB-87,06-FEB-87,,710,107,WOMENS SPORTS,ALLEN,3,100871,ACE TENNIS BALLS-6 PACK,5,50,250
616,,03-FEB-87,10-FEB-87,,764,103,JUST TENNIS,WARD,1,100861,ACE TENNIS RACKET II,45,10,450
616,,03-FEB-87,10-FEB-87,,764,103,JUST TENNIS,WARD,2,100870,ACE TENNIS BALLS-3 PACK,2.8,50,140
616,,03-FEB-87,10-FEB-87,,764,103,JUST TENNIS,WARD,3,100890,ACE TENNIS NET,58,2,116
616,,03-FEB-87,10-FEB-87,,764,103,JUST TENNIS,WARD,4,102130,RH: "GUIDE TO TENNIS",3.4,10,34
616,,03-FEB-87,10-FEB-87,,764,103,JUST TENNIS,WARD,5,200376,SB ENERGY BAR-6 PACK,2.4,10,24
617,,05-FEB-87,03-MAR-87,,46370,105,K + T SPORTS,TURNER,1,100860,ACE TENNIS RACKET I,35,50,1750
617,,05-FEB-87,03-MAR-87,,46370,105,K + T SPORTS,TURNER,2,100861,ACE TENNIS RACKET II,45,100,4500
